                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3644,                 1.0669,                 1.1993,                0.67222,                0.47705,                0.54708,                0.34475,                 1.2859,                0.88236,                 1.1284,              0.0085398,              0.0085398,              0.0085398
                     61,                 1.3641,                 1.0675,                 1.1982,                0.66819,                0.47958,                0.54705,                 0.3454,                 1.2857,                0.88167,                  1.128,               0.008515,               0.008515,               0.008515
                     62,                 1.3639,                 1.0643,                 1.1965,                0.66878,                0.48018,                0.54731,                0.34534,                 1.2852,                0.88118,                 1.1272,              0.0084903,              0.0084903,              0.0084903
                     63,                 1.3629,                 1.0651,                 1.1955,                0.66711,                0.48028,                0.54823,                0.34523,                 1.2849,                0.88052,                 1.1266,              0.0084655,              0.0084655,              0.0084655
                     64,                 1.3626,                 1.0639,                 1.1957,                0.66576,                0.48128,                0.54793,                0.34557,                 1.2847,                0.87994,                 1.1261,              0.0084408,              0.0084408,              0.0084408
                     65,                 1.3625,                 1.0622,                 1.1956,                0.66868,                0.47969,                 0.5493,                0.34593,                 1.2842,                0.87937,                 1.1256,               0.008416,               0.008416,               0.008416
                     66,                 1.3624,                 1.0633,                 1.1969,                0.67432,                 0.4792,                0.54887,                0.34624,                 1.2835,                0.87889,                 1.1254,              0.0083913,              0.0083913,              0.0083913
                     67,                 1.3612,                  1.062,                 1.1947,                0.67051,                 0.4809,                 0.5485,                0.34627,                 1.2833,                0.87841,                 1.1251,              0.0083665,              0.0083665,              0.0083665
                     68,                 1.3621,                 1.0611,                 1.1953,                0.67479,                0.47976,                0.54965,                0.34701,                  1.283,                0.87781,                 1.1249,              0.0083418,              0.0083418,              0.0083418
                     69,                  1.361,                 1.0606,                 1.1952,                0.67567,                0.47914,                 0.5495,                0.34679,                 1.2829,                0.87747,                 1.1247,               0.008317,               0.008317,               0.008317
                     70,                 1.3602,                 1.0594,                 1.1948,                0.67805,                0.47675,                0.54976,                0.34698,                 1.2826,                0.87694,                 1.1244,              0.0082922,              0.0082922,              0.0082922
                     71,                 1.3593,                 1.0588,                 1.1936,                0.67921,                0.47785,                0.55024,                0.34731,                 1.2824,                0.87645,                  1.124,              0.0082675,              0.0082675,              0.0082675
                     72,                 1.3599,                 1.0607,                 1.1944,                0.68378,                  0.478,                0.55088,                0.34776,                 1.2823,                0.87613,                 1.1237,              0.0082428,              0.0082428,              0.0082428
                     73,                 1.3591,                 1.0598,                 1.1934,                0.68139,                0.47975,                0.55189,                0.34856,                 1.2819,                 0.8758,                 1.1233,               0.008218,               0.008218,               0.008218
                     74,                 1.3602,                  1.058,                 1.1941,                0.68295,                0.48032,                0.55348,                0.34906,                 1.2816,                0.87523,                  1.123,              0.0081932,              0.0081932,              0.0081932
                     75,                 1.3592,                  1.059,                 1.1941,                0.68743,                0.47975,                0.55384,                 0.3493,                  1.281,                0.87485,                 1.1227,              0.0081685,              0.0081685,              0.0081685
                     76,                 1.3572,                 1.0556,                 1.1914,                0.68608,                0.48013,                 0.5541,                0.34932,                  1.281,                0.87425,                 1.1224,              0.0081437,              0.0081437,              0.0081437
                     77,                 1.3592,                 1.0578,                  1.192,                0.67884,                  0.482,                0.55471,                0.34943,                 1.2809,                0.87338,                 1.1221,               0.008119,               0.008119,               0.008119
                     78,                 1.3569,                 1.0547,                 1.1912,                  0.681,                0.48045,                0.55452,                0.34946,                 1.2804,                 0.8731,                 1.1217,              0.0080942,              0.0080942,              0.0080942
                     79,                 1.3579,                 1.0565,                 1.1907,                0.67921,                 0.4826,                0.55539,                0.35003,                   1.28,                0.87259,                 1.1212,              0.0080695,              0.0080695,              0.0080695
                     80,                  1.358,                 1.0546,                 1.1908,                0.67205,                0.48589,                0.55576,                0.35032,                 1.2798,                0.87222,                 1.1209,              0.0080447,              0.0080447,              0.0080447
                     81,                 1.3558,                 1.0553,                 1.1906,                0.67551,                 0.4841,                0.55523,                0.35039,                 1.2798,                0.87199,                 1.1206,                0.00802,                0.00802,                0.00802
                     82,                  1.355,                 1.0521,                 1.1889,                0.67301,                0.48543,                0.55592,                0.35056,                 1.2796,                0.87155,                 1.1202,              0.0079953,              0.0079953,              0.0079953
                     83,                 1.3542,                 1.0525,                 1.1887,                0.67627,                0.48445,                0.55598,                 0.3505,                 1.2791,                0.87119,                 1.1198,              0.0079705,              0.0079705,              0.0079705
                     84,                 1.3551,                 1.0502,                 1.1885,                0.67325,                0.48612,                0.55677,                 0.3511,                  1.279,                0.87085,                 1.1196,              0.0079457,              0.0079457,              0.0079457
                     85,                 1.3561,                 1.0532,                 1.1896,                0.67705,                0.48345,                0.55633,                0.35105,                 1.2789,                0.87046,                 1.1193,               0.007921,               0.007921,               0.007921
                     86,                 1.3566,                 1.0528,                 1.1892,                0.67997,                0.48324,                0.55639,                0.35144,                 1.2788,                 0.8703,                 1.1192,              0.0078963,              0.0078963,              0.0078963
                     87,                 1.3547,                  1.052,                 1.1887,                0.67531,                0.48555,                0.55689,                0.35153,                 1.2786,                0.87008,                  1.119,              0.0078715,              0.0078715,              0.0078715
                     88,                 1.3533,                 1.0491,                 1.1869,                0.67474,                 0.4856,                0.55756,                0.35192,                 1.2785,                 0.8699,                 1.1188,              0.0078467,              0.0078467,              0.0078467
                     89,                  1.354,                 1.0502,                 1.1881,                0.67337,                0.48601,                0.55742,                0.35219,                 1.2781,                0.86959,                 1.1184,               0.007822,               0.007822,               0.007822
                     90,                 1.3539,                 1.0495,                 1.1876,                0.67244,                0.48717,                0.55774,                0.35253,                  1.278,                0.86935,                 1.1183,              0.0077973,              0.0077973,              0.0077973
                     91,                 1.3536,                 1.0492,                 1.1872,                0.66997,                0.48693,                0.55799,                0.35242,                 1.2779,                0.86916,                 1.1182,              0.0077725,              0.0077725,              0.0077725
                     92,                 1.3524,                 1.0485,                 1.1868,                0.67142,                0.48704,                0.55787,                0.35261,                 1.2777,                0.86889,                 1.1179,              0.0077478,              0.0077478,              0.0077478
                     93,                 1.3537,                 1.0502,                 1.1887,                0.67358,                0.48793,                0.55782,                0.35266,                 1.2776,                0.86853,                 1.1177,               0.007723,               0.007723,               0.007723
                     94,                  1.354,                 1.0484,                 1.1869,                0.67074,                0.48907,                0.55854,                0.35303,                 1.2773,                0.86822,                 1.1174,              0.0076983,              0.0076983,              0.0076983
                     95,                 1.3505,                 1.0452,                 1.1863,                0.67135,                0.49016,                0.55844,                0.35327,                 1.2772,                0.86793,                 1.1173,              0.0076735,              0.0076735,              0.0076735
