                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4024,                 1.0681,                 1.1918,                0.63808,                0.38651,                0.43766,                0.25467,                      0,                    inf,                      0,             0.00084349,             0.00084349,             0.00084349
                     49,                  1.401,                 1.0656,                 1.1913,                0.63228,                0.38864,                0.43899,                0.25587,                      0,                    inf,                      0,             0.00084016,             0.00084016,             0.00084016
                     50,                 1.3974,                 1.0608,                 1.1874,                0.63507,                 0.3883,                0.43996,                0.25664,                      0,                    inf,                      0,             0.00083683,             0.00083683,             0.00083683
                     51,                 1.3954,                 1.0588,                 1.1865,                0.63161,                0.39081,                0.44084,                0.25777,                      0,                    inf,                      0,              0.0008335,              0.0008335,              0.0008335
                     52,                 1.3955,                 1.0588,                  1.185,                 0.6306,                0.39503,                0.44346,                0.25907,                      0,                    inf,                      0,             0.00083017,             0.00083017,             0.00083017
                     53,                  1.392,                 1.0536,                 1.1828,                  0.625,                0.39921,                0.44488,                0.25991,                      0,                    inf,                      0,             0.00082684,             0.00082684,             0.00082684
                     54,                 1.3923,                 1.0527,                 1.1812,                0.63515,                0.39683,                 0.4462,                0.26061,                      0,                    inf,                      0,             0.00082351,             0.00082351,             0.00082351
                     55,                 1.3869,                 1.0484,                 1.1792,                 0.6377,                0.39624,                0.44736,                0.26189,                      0,                    inf,                      0,             0.00082018,             0.00082018,             0.00082018
                     56,                 1.3874,                 1.0489,                 1.1789,                0.63922,                0.39383,                0.44845,                0.26245,                      0,                    inf,                      0,             0.00081685,             0.00081685,             0.00081685
                     57,                 1.3852,                 1.0447,                  1.177,                0.64425,                0.39332,                0.45025,                0.26347,                      0,                    inf,                      0,             0.00081352,             0.00081352,             0.00081352
                     58,                 1.3843,                 1.0463,                 1.1763,                0.64109,                0.39326,                0.44983,                0.26384,                      0,                    inf,                      0,             0.00081019,             0.00081019,             0.00081019
                     59,                 1.3825,                 1.0442,                 1.1758,                0.64598,                 0.3936,                0.45092,                0.26446,                      0,                    inf,                      0,             0.00080686,             0.00080686,             0.00080686
                     60,                 1.3802,                 1.0399,                 1.1732,                0.64295,                0.39539,                0.45169,                0.26482,                      0,                    inf,                      0,             0.00080353,             0.00080353,             0.00080353
                     61,                 1.3798,                 1.0398,                 1.1726,                 0.6303,                0.39874,                0.45276,                0.26625,                      0,                    inf,                      0,              0.0008002,              0.0008002,              0.0008002
