                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2196,                 1.1056,                 1.2646,                0.67892,                 0.5111,                 0.5795,                0.38318,                      0,                    inf,                      0,               0.007393,               0.007393,               0.007393
                     81,                  1.216,                 1.1062,                 1.2633,                0.68623,                0.51073,                0.57881,                0.38336,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     82,                 1.2152,                 1.1046,                 1.2622,                0.68945,                0.51152,                0.57929,                0.38366,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     83,                 1.2151,                 1.1036,                 1.2615,                0.69049,                0.51225,                0.58007,                0.38373,                      0,                    inf,                      0,               0.007294,               0.007294,               0.007294
                     84,                  1.214,                 1.1022,                 1.2601,                0.68087,                0.51465,                0.57952,                0.38361,                      0,                    inf,                      0,               0.007261,               0.007261,               0.007261
                     85,                 1.2122,                 1.1013,                 1.2581,                0.67607,                0.51577,                0.58074,                0.38485,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     86,                 1.2185,                 1.1059,                 1.2588,                0.68779,                0.50873,                0.57977,                0.38523,                      0,                    inf,                      0,               0.007195,               0.007195,               0.007195
                     87,                  1.214,                 1.1025,                 1.2582,                0.68669,                0.50877,                0.58071,                0.38581,                      0,                    inf,                      0,               0.007162,               0.007162,               0.007162
                     88,                 1.2118,                 1.0998,                  1.257,                0.67836,                0.51317,                0.58114,                0.38661,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     89,                 1.2136,                  1.101,                 1.2569,                0.67944,                0.51517,                0.58164,                0.38731,                      0,                    inf,                      0,               0.007096,               0.007096,               0.007096
                     90,                 1.2103,                 1.0961,                 1.2553,                0.67479,                0.51902,                0.58202,                0.38808,                      0,                    inf,                      0,               0.007063,               0.007063,               0.007063
                     91,                 1.2093,                 1.0954,                 1.2528,                 0.6866,                0.51567,                0.58271,                0.38827,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     92,                 1.2093,                 1.0973,                 1.2549,                0.68354,                0.51745,                0.58321,                0.39014,                      0,                    inf,                      0,               0.006997,               0.006997,               0.006997
                     93,                 1.2096,                 1.0909,                  1.253,                0.67041,                 0.5237,                0.58442,                0.38998,                      0,                    inf,                      0,               0.006964,               0.006964,               0.006964
                     94,                 1.2081,                 1.0921,                 1.2522,                0.66483,                0.52914,                0.58493,                 0.3905,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     95,                 1.2082,                 1.0929,                 1.2512,                0.67966,                 0.5237,                0.58621,                0.39112,                      0,                    inf,                      0,               0.006898,               0.006898,               0.006898
                     96,                  1.207,                 1.0904,                 1.2504,                0.68282,                0.52481,                0.58572,                0.39085,                      0,                    inf,                      0,               0.006865,               0.006865,               0.006865
                     97,                 1.2051,                 1.0924,                 1.2496,                0.67758,                 0.5268,                 0.5866,                 0.3913,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     98,                 1.2063,                 1.0891,                 1.2506,                0.68299,                0.52799,                0.58712,                0.39103,                      0,                    inf,                      0,               0.006799,               0.006799,               0.006799
                     99,                 1.2053,                 1.0879,                 1.2491,                0.68153,                0.52578,                0.58706,                0.39081,                      0,                    inf,                      0,               0.006766,               0.006766,               0.006766
                    100,                 1.2055,                 1.0886,                 1.2475,                0.68416,                0.52014,                0.58721,                0.39142,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                    101,                 1.2068,                 1.0888,                 1.2485,                0.68603,                0.51605,                0.58795,                0.39146,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2045,                 1.0859,                  1.247,                0.69068,                0.51436,                0.58726,                0.39109,                      0,                    inf,                      0,               0.006667,               0.006667,               0.006667
                    103,                 1.2042,                 1.0811,                 1.2449,                0.69361,                  0.515,                0.58765,                0.39157,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                    104,                 1.2023,                 1.0833,                 1.2457,                0.69259,                0.51515,                0.58699,                0.39146,                      0,                    inf,                      0,               0.006601,               0.006601,               0.006601
                    105,                 1.2005,                 1.0831,                 1.2478,                0.69601,                0.51796,                0.58762,                 0.3915,                      0,                    inf,                      0,               0.006568,               0.006568,               0.006568
                    106,                 1.2013,                 1.0849,                 1.2453,                0.69982,                0.51047,                0.58758,                0.39164,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                    107,                  1.201,                 1.0812,                 1.2435,                0.69607,                0.51486,                0.58819,                0.39219,                      0,                    inf,                      0,               0.006502,               0.006502,               0.006502
                    108,                 1.2021,                 1.0839,                 1.2449,                0.69484,                0.51477,                0.58798,                0.39228,                      0,                    inf,                      0,               0.006469,               0.006469,               0.006469
                    109,                  1.199,                 1.0794,                 1.2418,                0.69784,                0.51406,                0.58871,                0.39264,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                    110,                 1.1992,                 1.0817,                 1.2433,                0.69871,                0.51453,                0.58884,                0.39308,                      0,                    inf,                      0,               0.006403,               0.006403,               0.006403
                    111,                  1.198,                 1.0783,                 1.2409,                0.69831,                0.51605,                0.58875,                0.39303,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                    112,                 1.1981,                  1.077,                 1.2388,                 0.6931,                0.51725,                0.58925,                0.39325,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                    113,                 1.1981,                 1.0771,                 1.2398,                0.69716,                0.51521,                0.59015,                0.39409,                      0,                    inf,                      0,               0.006304,               0.006304,               0.006304
                    114,                 1.1976,                 1.0769,                 1.2408,                0.69832,                0.51514,                0.59127,                0.39535,                      0,                    inf,                      0,               0.006271,               0.006271,               0.006271
                    115,                 1.1955,                 1.0718,                 1.2382,                0.69199,                0.52211,                0.59235,                0.39615,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                    116,                  1.196,                 1.0736,                 1.2389,                0.69141,                 0.5173,                0.59009,                0.39616,                      0,                    inf,                      0,               0.006205,               0.006205,               0.006205
                    117,                 1.1965,                 1.0744,                 1.2379,                0.69048,                0.51884,                0.59058,                0.39687,                      0,                    inf,                      0,               0.006172,               0.006172,               0.006172
                    118,                 1.1961,                 1.0727,                 1.2381,                0.68939,                0.51904,                0.59061,                 0.3976,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                    119,                 1.1941,                 1.0718,                 1.2364,                0.69355,                0.51559,                0.59149,                0.39784,                      0,                    inf,                      0,               0.006106,               0.006106,               0.006106
                    120,                 1.1935,                 1.0712,                 1.2361,                0.69094,                0.51818,                0.59286,                0.39834,                      0,                    inf,                      0,               0.006073,               0.006073,               0.006073
                    121,                 1.1928,                 1.0681,                  1.235,                0.70382,                0.51067,                0.59363,                 0.3988,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
